	Date	Twitter Inc.	Apple Inc.	Facebook Inc.	NVIDIA Corp	Amazon.com Inc	Microsoft Corp
261	2015-05-11	37.31	123.482814276	77.46	20.3414499032	431.02	46.0881306176
262	2015-05-08	37.59	123.340722314	78.01	20.5337224544	432.85	46.4578475193
263	2015-05-07	37.71	123.78659709	78.51	22.1754342377	433.69	45.4362613435
264	2015-05-06	37.26	125.060525021	78.425	21.7908891353	426.88	45.0276268732
265	2015-05-05	37.42	122.747855854	78.1	21.7218682195	419.1	46.3119066371
266	2015-05-04	37.88	121.996418034	77.56	22.2937558076	421.19	46.9345877347
267	2015-05-01	37.84	122.76737372	78.81	22.4317976393	423.04	47.338357509
268	2015-04-30	38.96	125.597464211	78.98	21.8796303128	422.8	47.3237634208
269	2015-04-29	38.49	125.841437529	78.763	21.8303296586	421.785	47.7323978911
270	2015-04-28	42.27	122.133043092	80.465	21.9930218173	429.37	47.8199624204
271	2015-04-27	51.66	125.538910614	80.68	21.8894904436	429.31	46.7302704996
272	2015-04-24	50.82	127.412625698	81.91	21.7218682195	438.56	46.5746002252
273	2015-04-23	51.41	129.452242638	81.51	21.9092107053	445.1	42.1671855809
274	2015-04-22	51.73	127.139375582	82.41	21.9979518827	389.99	41.8217921596
275	2015-04-21	51.32	126.544080685	84.63	21.7465185466	389.8	41.4812634343
276	2015-04-20	51.4	125.519392749	83.62	21.7810290045	391.18	41.7390923263
277	2015-04-17	50.66	123.850615252	83.09	21.8894904436	389.8	40.493730131
278	2015-04-16	52.03	124.523981611	80.78	22.1754342377	375.56	41.0191173071
279	2015-04-15	51.3	121.742685783	82.31	22.3134760693	386.04	41.1115465326
280	2015-04-14	51.2	123.12845423	82.705	22.0472525369	383.45	40.5229183075
281	2015-04-13	51.62	123.723749127	83.515	22.2345950227	385.11	40.6299416211
282	2015-04-10	51.94	123.255320356	83.01	22.4416577701	382.36	40.5910240525
283	2015-04-09	52.17	123.792061656	82.029	22.2099446956	382.65	40.3575186409
284	2015-04-08	52.3	124.036034974	82.17	21.7120080886	383.54	40.299142288
285	2015-04-07	52.87	123.509052607	82.275	21.5542459954	381.2	40.4061656016
286	2015-04-06	50.84	122.572195065	82.32	21.3619734442	374.41	40.4207596899
287	2015-04-02	50.42	122.972311307	82.44	20.7654355289	377.04	39.199720975
